Row Name,Level,HealthValue,HealthPrice,DamageValue,DamagePrice,RangeValue,RangePrice,SpeedValue,SpeedPrice,RepairValue,RepairPrice,FireRateValue,FireRatePrice,KillValue
Level_1,1,30,0,10,0,1000,0,500,0,0,0,1,0,100
Level_2,2,180,0,30,0,2000,0,550,0,1,0,1.5,0,200
Level_3,3,560,900,40,900,2250,300,600,300,3,300,2,1800,300
Level_4,4,1500,1600,60,1600,2500,800,750,800,8,800,2.5,3200,400
Level_5,5,3360,2500,80,2500,2750,1500,850,1500,17,1500,3,5000,500
Level_6,6,5950,3600,100,3600,3000,2400,1000,2400,30,2400,3.5,7200,600
Level_7,7,9600,4900,120,4900,3250,3500,1250,3500,48,3500,4,9800,700
Level_8,8,14040,6400,130,6400,3500,4800,1500,4800,70,4800,4.5,12800,800
Level_9,9,19600,8100,140,8100,3750,6300,1750,6300,98,6300,5,16200,900
Level_10,10,27000,10000,150,10000,4000,8000,2000,8000,135,8000,6,20000,1000
,,,,,,,,.,,,,,,
